\lambda(T,I)	200	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500
15	3.05	3.15	3.75	3.3	3.4											
17	3.75	4.05	4.25	4.25	4.25											
19	4.1	4.35	5.1	4.5	5											
21	4.8	5	5.15	5.2	5.35											
23		5.95	5.95	5.8	6.1											
25		6.15	6.15	6.25	6.25											
27		6.4	6.65	7.3	7											
29		7.1	7.2	7.4	7.3											
31		7.75	7.65	8.2	8											
33		8.05	8.15	9.25	8.5											
35		8.75	9	9.1	8.5											
